mention_id,document,footnote_ordinal,note_id,unit_ordinal,text,mention_type,explicit_payload,explicit_locator,effective_locator,relation_type,relation_surface,antecedent_mention_id,explicit_author,inherited_author,inherited_work_id,resolved_work_id,candidate_work_ids,resolution,resolution_method,confidence,abbreviation,abbreviation_expansion,source_family,warnings
mention-0500,ИСТОЧНИК_ВЕРСИЯ_3.docx,147,147,1,Archivo Histórico de la Ciudad de Barcelona. Pergaminos Municipales. 1A-105.,possible_reference,Archivo Histórico de la Ciudad de Barcelona. Pergaminos Municipales. 1A-105.,,,,,,,,,korneeva-institution-022,korneeva-institution-022,resolved_explicit,explicit_archival_repository_and_shelfmark,1.0,,,,
mention-0501,ИСТОЧНИК_ВЕРСИЯ_3.docx,148,148,1,"Constitucions y altres drets de Cathalunya, compilats en virtut del capitol de cort LXXXII de las Corts per la S. C. y R. Majestat del Rey Don Philip IV, Nostre Senyor, celebradas en la Ciutat de Barcelona any M. DCCII. Barcelona: Casa de Joan Pau Martí y Joseph Llopis Estampers, 1704. Vol. 2. Lib. 1. Tit. 13. P. 39–51.",full_reference,"Constitucions y altres drets de Cathalunya, compilats en virtut del capitol de cort LXXXII de las Corts per la S. C. y R. Majestat del Rey Don Philip IV, Nostre Senyor, celebradas en la Ciutat de Barcelona any M. DCCII. Barcelona: Casa de Joan Pau Martí y Joseph Llopis Estampers, 1704. Vol. 2. Lib. 1. Tit. 13. P. 39–51.",Vol. 2; P. 39–51,Vol. 2; P. 39–51,,,,,,,korneeva-sources-008,korneeva-sources-008,resolved_explicit,exact_title,0.98,,,,
mention-0502,ИСТОЧНИК_ВЕРСИЯ_3.docx,149,149,1,"Recognoverunt proceres. Versión medieval catalana del privilegio así llamado / ed. J. Rovira. Barcelona: Departamento de Historia del Derecho de la Universidad de Barcelona, 1927.",full_reference,"Recognoverunt proceres. Versión medieval catalana del privilegio así llamado / ed. J. Rovira. Barcelona: Departamento de Historia del Derecho de la Universidad de Barcelona, 1927.",,,,,,,,,korneeva-sources-035,korneeva-sources-035,resolved_explicit,source_family_unique,0.97,,,recognoverunt_proceres,
mention-0503,ИСТОЧНИК_ВЕРСИЯ_3.docx,150,150,1,"Valls i Taberner F. Les consuetuds i franqueses de Barcelona de 1284, o “Recognoverunt proceres” // Revista de Catalunya. 1927. No. 39. P. 248–254.",full_reference,"Valls i Taberner F. Les consuetuds i franqueses de Barcelona de 1284, o “Recognoverunt proceres” // Revista de Catalunya. 1927. No. 39. P. 248–254.",No. 39.; P. 248–254,No. 39.; P. 248–254,,,,,,,korneeva-footnote-010,korneeva-footnote-010,resolved_explicit,exact_title,0.98,,,,
mention-0504,ИСТОЧНИК_ВЕРСИЯ_3.docx,151,151,1,"Privilegios reales concedidos a la ciudad de Barcelona / ed. A. M. Aragó, M. M. Costa. Barcelona: Archivo de la Corona de Aragón, 1971. Vol. 43. P. 8–17.",full_reference,"Privilegios reales concedidos a la ciudad de Barcelona / ed. A. M. Aragó, M. M. Costa. Barcelona: Archivo de la Corona de Aragón, 1971. Vol. 43. P. 8–17.",Vol. 43; P. 8–17,Vol. 43; P. 8–17,,,,,,,korneeva-sources-033,korneeva-sources-033,resolved_explicit,exact_title,0.98,,,,
mention-0505,ИСТОЧНИК_ВЕРСИЯ_3.docx,152,152,1,"Recognoverunt proceres. 1283, enero, 11. Barcelona // Leyes Históricas de Cataluña. Madrid: Agencia Estatal Boletín Oficial del Estado, 2024. Vol. 2: Apéndices. P. 589–617. (В дальнейшем цитируется по этому изданию).",full_reference,"Recognoverunt proceres. 1283, enero, 11. Barcelona // Leyes Históricas de Cataluña. Madrid: Agencia Estatal Boletín Oficial del Estado, 2024. Vol. 2: Apéndices. P. 589–617. (В дальнейшем цитируется по этому изданию).",Vol. 2: Apéndices; P. 589–617,Vol. 2: Apéndices; P. 589–617,,,,,,,korneeva-sources-034,korneeva-sources-034,resolved_explicit,source_family_unique,0.97,,,recognoverunt_proceres,
mention-0506,ИСТОЧНИК_ВЕРСИЯ_3.docx,153,153,1,"Justícia i resolució de conflictes a la Catalunya medieval. Col·lecció diplomàtica. Segles IX–XI / dir. J. M. Salrach i Marès, T. de Montagut i Estragués. Barcelona: Parlament de Catalunya: Departament de Justícia de la Generalitat de Catalunya, 2018. (Textos Jurídics Catalans; 37. Documents; 2); Justícia i resolució de conflictes a la Catalunya medieval. Col·lecció diplomàtica. Segle XII / dir. J. M. Salrach i Marès, T. de Montagut i Estragués. Barcelona, 2024. (Textos Jurídics Catalans; 38. Documents; 2/3).",full_reference,"Justícia i resolució de conflictes a la Catalunya medieval. Col·lecció diplomàtica. Segles IX–XI / dir. J. M. Salrach i Marès, T. de Montagut i Estragués. Barcelona: Parlament de Catalunya: Departament de Justícia de la Generalitat de Catalunya, 2018. (Textos Jurídics Catalans; 37. Documents; 2); Justícia i resolució de conflictes a la Catalunya medieval. Col·lecció diplomàtica. Segle XII / dir. J. M. Salrach i Marès, T. de Montagut i Estragués. Barcelona, 2024. (Textos Jurídics Catalans; 38. Documents; 2/3).",,,,,,,,,korneeva-sources-025,korneeva-sources-025,resolved_explicit,source_family_unique,0.97,,,justicia_i_resolucio,
mention-0507,ИСТОЧНИК_ВЕРСИЯ_3.docx,154,154,1,"Варьяш О.И. Проблемы социализации индивида // Она же. Пиренейские тетради: право, общество, власть и человек в средние века. Москва: Наука, 2006. С. 33.",full_reference,"Варьяш О.И. Проблемы социализации индивида // Она же. Пиренейские тетради: право, общество, власть и человек в средние века. Москва: Наука, 2006. С. 33.",С. 33,С. 33,,,,,,,korneeva-research-037,korneeva-research-037,resolved_explicit,token_overlap,0.826,,,,
mention-0508,ИСТОЧНИК_ВЕРСИЯ_3.docx,155,155,1,"Варьяш И.И. Сарацины под властью арагонских королей: исследование правового пространства XIV в. Санкт-Петербург: Евразия Clio, 2016. С. 11.",full_reference,"Варьяш И.И. Сарацины под властью арагонских королей: исследование правового пространства XIV в. Санкт-Петербург: Евразия Clio, 2016. С. 11.",С. 11,С. 11,,,,,,,korneeva-research-032,korneeva-research-032,resolved_explicit,exact_title,0.98,,,,
mention-0509,ИСТОЧНИК_ВЕРСИЯ_3.docx,156,156,1,"Justícia i resolució de conflictes a la Catalunya medieval. Col·lecció diplomàtica. Segle XII / dir. J. M. Salrach i Marès, T. de Montagut i Estragués. Barcelona, 2024. P. XIV.",short_title_reference,"Justícia i resolució de conflictes a la Catalunya medieval. Col·lecció diplomàtica. Segle XII / dir. J. M. Salrach i Marès, T. de Montagut i Estragués. Barcelona, 2024. P. XIV.",,,,,,,,,korneeva-sources-025,korneeva-sources-025,resolved_explicit,source_family_unique,0.97,,,justicia_i_resolucio,
