mention_id,document,footnote_ordinal,note_id,unit_ordinal,text,kind,locator,matched_key,match_score,match_method,resolution,abbreviation,abbreviation_expansion
mention-0275,ИСТОРИОГРАФИЯ_ВЕРСИЯ_3.docx,176,176,1,Он же. Вопрос о значении и происхождении шести «дурных обычаев» в Каталонии: с прил. неизд. Документов. Киев: тип. Ун-та св.,commentary,,,,,not_bibliographic,,
mention-0276,ИСТОРИОГРАФИЯ_ВЕРСИЯ_3.docx,176,176,2,"Владимира Н.Т. Корчак-Новицкого, 1899.",full_reference,"Т. Корчак-Новицкого, 1899",,0.669,below_threshold,unresolved,,
mention-0277,ИСТОРИОГРАФИЯ_ВЕРСИЯ_3.docx,177,177,1,Там же. С. 5–7.,short_reference,С. 5–7,korneeva-research-074,1.0,sequential_short_reference,matched,,
mention-0278,ИСТОРИОГРАФИЯ_ВЕРСИЯ_3.docx,178,178,1,"Он же. Кастильские кортесы в переходную эпоху от Средних веков к Новому времени: (1188–1520): исследование. Киев: Тип. Императ. университета св. Владимира, 1897. 212 c.",commentary,,,,,not_bibliographic,,
mention-0279,ИСТОРИОГРАФИЯ_ВЕРСИЯ_3.docx,179,179,1,Он же. Отчет о заграничной командировке приват-доцента университета св.,commentary,,,,,not_bibliographic,,
mention-0280,ИСТОРИОГРАФИЯ_ВЕРСИЯ_3.docx,179,179,2,Владимира В. Пискорского за 1896 и 1897 годы // Журнал Министерства народного просвещения. 1898. № 12 (320). C. 19–47.,full_reference,,korneeva-research-092,0.79,token_overlap,matched,,
mention-0281,ИСТОРИОГРАФИЯ_ВЕРСИЯ_3.docx,180,180,1,"Он же. История Испании и Португалии. 2-е изд., доп-е изд., Санкт-Петербург: Акц. о-во Брокгауз-Ефрон, 1909.",commentary,,,,,not_bibliographic,,
mention-0282,ИСТОРИОГРАФИЯ_ВЕРСИЯ_3.docx,181,181,1,"Кудрявцев А.Е. Основные проблемы изучения средневековой Испании // Культура Испании. М.: Издательство Академии наук СССР, 1940.C. 42–68; Он же. Испания в Средние века. Л.: Соцэкгиз, 1937. 256 с.",full_reference,,korneeva-research-069,0.98,exact_title,matched,,
mention-0283,ИСТОРИОГРАФИЯ_ВЕРСИЯ_3.docx,182,182,1,"Добиаш-Рождественская О.А. Выступление на защите кандидатской диссертации И.В. Арского «Аграрный строй Каталонии IX–XII вв.» (ЛГУ, 29.XI.1937 г.). // Культура западноевропейского Средневековья: научное наследие. М.: Наука, 1987. C. 239–244.",full_reference,,korneeva-research-044,0.98,exact_title,matched,,
mention-0284,ИСТОРИОГРАФИЯ_ВЕРСИЯ_3.docx,183,183,1,"Арский И.В. Очерки по истории средневековой Каталонии до соединения с Арагоном (VIII—XII века). Л.: Издательство ЛГУ, 1941. 133 с.",full_reference,,korneeva-research-003,0.98,exact_title,matched,,
mention-0285,ИСТОРИОГРАФИЯ_ВЕРСИЯ_3.docx,184,184,1,Он же. Указ. соч. С. 25–48.,abbreviated_reference,С. 25–48,,,,unresolved,,
mention-0286,ИСТОРИОГРАФИЯ_ВЕРСИЯ_3.docx,185,185,1,"Жозеф Кальмет (1873 – 1952 гг.) — французский историк средних веков, профессор университета г. Тулузы.",commentary,,,,,not_bibliographic,,
mention-0287,ИСТОРИОГРАФИЯ_ВЕРСИЯ_3.docx,186,186,1,"Ферран Вальс-Табернер (1888 – 1942)— каталонский историк Средних веков. В этой связи нам кажется важным сделать небольшое отступление. Ф. Вальс-Табернер симпатизировал советской России в целом, в 1928–1929 гг. он даже посетил с туристическим визитом Ленинград и Москву, о чём свидетельствуют опубликованные им очерки в газете “La Vanguardia”. Позднее опубликованы отдельным изданием:",commentary,,,,,not_bibliographic,,
